Link,Title of business case,Name of company,Business sector,Adaptation area relevant to case study,Countries relevant to case study,ISO3,latitude,longitude
http://unfccc.int/files/adaptation/application/pdf/microsoft.pdf,Research4Life and Eye On Earth,Microsoft Corporation,Information Technology Services,"Education and training; Science, assessment, monitoring and early warning",-All,#N/A,0,0
http://unfccc.int/files/adaptation/application/pdf/maplecroft.pdf,Climate Change and Environmental Risk Atlas,Maplecroft,Information Technology Services; Consulting and Environmental Services,"Science, assessment, monitoring and early warning",-All,#N/A,0,0
http://unfccc.int/files/adaptation/application/pdf/bayer.pdf,Developing stress-tolerant plants,Bayer,Chemicals,"Food security, agriculture, forestry and fisheries",-All,#N/A,0,0
http://unfccc.int/files/adaptation/application/pdf/intel.pdf,Water Wars,Intel,Information Technology Services,Water resources,-All,#N/A,0,0
http://unfccc.int/files/adaptation/application/pdf/mca.pdf,The 100K Home,Mario Cucinella Architects,Construction and Engineering,"Transport, infrastructure and human settlements",-All,#N/A,0,0
http://unfccc.int/files/adaptation/application/pdf/munich_re.pdf,Building -Alliances around climate insurance,Munich Re,Financial Services,"Science, assessment, monitoring and early warning",-All,#N/A,0,0
http://unfccc.int/files/adaptation/application/pdf/hi_nation_ab.pdf,Provision of solar energy builds resilience of rural population,HiNation AB,Energyand Utilities,Renewable energy systems,-Multiple,#N/A,0,0
http://unfccc.int/files/adaptation/application/pdf/mars_ibm.pdf,Unraveling the cocoa genome,Mars; IBM; U.S. Department of Agriculture,Foodand Beverages; Scienceand Technology,"Food security, agriculture, forestry and fisheries",-Multiple,#N/A,0,0
http://unfccc.int/files/adaptation/application/pdf/siemens.pdf,SkyHydrant Water Purification Technology,Siemens,Science and Technology,Water resources,-Multiple,#N/A,0,0
http://unfccc.int/files/adaptation/application/pdf/cemex.pdf,Sustainable and climate resilient housing,CEMEX,Construction and Engineering,"Transport, infrastructure and human settlements",-Multiple,#N/A,0,0
http://unfccc.int/files/adaptation/application/pdf/ge.pdf,Technologies that build climate resilience,General Electric,Water Management,Water resources,Algeria,DZA,0,0
http://unfccc.int/files/adaptation/application/pdf/veolia.pdf,Desalination: Kurnell Project,Veolia Water,Energy and Utilities,Water resources,Australia,AUS,0,0
http://unfccc.int/files/adaptation/application/pdf/rio_tinto.pdf,"Reappraising “normal” - Designing to weather, climate, and climate change",Rio Tinto,Mining and Metals,"Water resources; Science, assessment, monitoring and early warning",Australia,AUS,0,0
http://unfccc.int/files/adaptation/application/pdf/obb.pdf,InfraWeather,ÖBB,Transportand Logistics,"Science, assessment, monitoring and early warning; Transport, infrastructure and human settlements",Austria,AUT,0,0
http://unfccc.int/files/adaptation/application/pdf/riverside_technology.pdf,"Disaster preparedness, local capacity building, and planning",Riverside Technology,Consultingand Environmental Services,"Science, assessment, monitoring and early warning; Education and training",Bangladesh,BGD,0,0
http://unfccc.int/files/adaptation/application/pdf/tartari.pdf,Weather resilient boats,Tartari; Friendship,Agriculture (fisheries),"Oceans and coastal areas; Food security, agriculture, forestry and fisheries",Bangladesh,BGD,0,0
http://unfccc.int/files/adaptation/application/pdf/basf.pdf,New technologies for climate change adaptation,BASF,Chemicals,"Food security, agriculture, forestry and fisheries",Brazil,BRA,0,0
http://unfccc.int/files/adaptation/application/pdf/riverside_technology.pdf,"Disaster preparedness, local capacity building, and planning",Riverside Technology,Consultingand Environmental Services,"Science, assessment, monitoring and early warning; Education and training",Brazil,BRA,0,0
http://unfccc.int/files/adaptation/application/pdf/hsbc.pdf,New insurance products and climate risk,HSBC,Financial Services,"Business; Transport, infrastructure and human settlements",Brazil,BRA,0,0
http://unfccc.int/files/adaptation/application/pdf/-Allianz.pdf,Insuring against climate impacts and rewarding sustainable business practices,-Allianz,Financial Services,Business,Brazil,BRA,0,0
http://unfccc.int/files/adaptation/application/pdf/rabobank.pdf,Expertise reduces climate change risks for most vulnerable,Rabobank,Financial Services,Education and training,Cambodia,BFA,0,0
http://unfccc.int/files/adaptation/application/pdf/intrawest.pdf,Relocation to improve snow pack and lengthen ski season,Intrawest,Tourism and Recreation,Tourism,Canada,BFA,0,0
http://unfccc.int/files/adaptation/application/pdf/meinert_enterprises.pdf,Adapting to climate change through changing growing patterns and spreading risks,Meinert Enterprises,Agriculture,"Food security, agriculture, forestry and fisheries",Canada,BFA,0,0
http://unfccc.int/files/adaptation/application/pdf/natur-Ally_advanced_technologies.pdf,More resilient fibers to replace cotton,Natur-Ally Advanced Technologies (NAT),Science and Technology,"Food security, agriculture, forestry and fisheries",Canada,BFA,0,0
http://unfccc.int/files/adaptation/application/pdf/intact_financial_corporation.pdf,Climate Change Adaptation Project (CCAP),Intact Financial Corporation; University of Waterloo,Financial Services,"Food security, agriculture, forestry and fisheries; Science, assessment, monitoring and early warning; Terrestrial ecosystems; Transport, infrastructure and human settlements; Water resources",Canada,BFA,0,0
http://unfccc.int/files/adaptation/application/pdf/apple_vacations_et_at.pdf,Hurricane guarantees and waivers,Apple Vacations; Club Med; Sandals; SuperClubs; TNT Vacations,Tourism and Recreation,Tourism,Caribbean and Central America,CPV,0,0
http://unfccc.int/files/adaptation/application/pdf/ge.pdf,Technologies that build climate resilience,General Electric,Water Management,Water resources,China,CHN,0,0
http://unfccc.int/files/adaptation/application/pdf/nestle_example.pdf,Providing farming training and assistance,Nestlé,Food and Beverages,"Education and training; Food security, agriculture, forestry and fisheries; Water resources",China,CHN,0,0
http://unfccc.int/files/adaptation/application/pdf/china_mobile_communications.pdf,Information-based mobile applications for adaptation,China Mobile Communications,Telecommunications,"Education and training; Food security, agriculture, forestry and fisheries; Terrestrial ecosystems; Water resources",China,CHN,0,0
http://unfccc.int/files/adaptation/application/pdf/eeab.pdf,Adaptation program to support ecosystem services,EEAB (Bogotá Water and Sewage Company),Water Management,Water resources,Colombia,COL,0,0
http://unfccc.int/files/adaptation/application/pdf/nestle_example.pdf,Providing farming training and assistance,Nestlé,Food and Beverages,"Education and training; Food security, agriculture, forestry and fisheries; Water resources",Côte d’Ivoire,CIV,0,0
http://unfccc.int/files/adaptation/application/pdf/nova_oceanic.pdf,Wave Energy Converter,Nova Oceanic Energy Systems Inc.,Energy and Utilities,Oceans and coastal areas,Dominican Republic,DOM,0,0
http://unfccc.int/files/adaptation/application/pdf/-Allianz.pdf,Insuring against climate impacts and rewarding sustainable business practices,-Allianz,Financial Services,Business,Egypt,EGY,0,0
http://unfccc.int/files/adaptation/application/pdf/sekem.pdf,Integrating adaptation into core business practices,SEKEM Holdings Group,Food and Beverages; Consumer Packaged Goods,"Transport, infrastructure and human settlements",Egypt,EGY,0,0
http://unfccc.int/files/adaptation/application/pdf/green_mountain_coffee_roasters.pdf,Coffee Under Pressure: Climate Change and Adaptation in Mesoamerica (CUP),Green Mountain Coffee Roasters (GMCR); International Center for Tropical Agriculture (CIAT); Catholic Relief Services (CRS),Food and Beverages; Agriculture,"Food security, agriculture, forestry and fisheries",El Salvador,SLV,0,0
http://unfccc.int/files/adaptation/application/pdf/riverside_technology.pdf,"Disaster preparedness, local capacity building, and planning",Riverside Technology,Consultingand Environmental Services,"Science, assessment, monitoring and early warning; Education and training",Ethiopia,ETH,0,0
http://unfccc.int/files/adaptation/application/pdf/swiss_re.pdf,Horn of Africa Risk Transfer for Adaptation (HARITA),Swiss Re; Oxfam America,Financial Services,"Food security, agriculture, forestry and fisheries; Science, assessment, monitoring and early warning",Ethiopia,ETH,0,0
http://unfccc.int/files/adaptation/application/pdf/nestle_example.pdf,Providing farming training and assistance,Nestlé,Food and Beverages,"Education and training; Food security, agriculture, forestry and fisheries; Water resources",France,FRO,0,0
http://unfccc.int/files/adaptation/application/pdf/uic.pdf,Adaptation of Railways to Climate Change (ARISCC),International Union of Railways (UIC),Transport and Logistics,"Transport, infrastructure and human settlements",France,FRO,0,0
http://unfccc.int/files/adaptation/application/pdf/egis.pdf,Adapting road infrastructure to climate change,Egis,Constructionand Engineering,"Transport, infrastructure and human settlements",France,FRO,0,0
http://unfccc.int/files/adaptation/application/pdf/ignita.pdf,Preventive weather forecasting for West African farmers to increase agricultural yield,"Ignitia AB, Ignitia Ghana Ltd",Science and Technology,"Science, assessment, monitoring and early warning",Ghana,FRO,0,0
http://unfccc.int/files/adaptation/application/pdf/green_mountain_coffee_roasters.pdf,Coffee Under Pressure: Climate Change and Adaptation in Mesoamerica (CUP),Green Mountain Coffee Roasters (GMCR); International Center for Tropical Agriculture (CIAT); Catholic Relief Services (CRS),Food and Beverages; Agriculture,"Food security, agriculture, forestry and fisheries",Guatemala,FRO,0,0
http://unfccc.int/files/adaptation/application/pdf/fonkoze.pdf,Natural disaster insurance protecting Haiti’s micro-entrepreneurs,Fonkoze (Fondasyon Kole Zepol),Financial Services,"Business; Education and training; Transport, infrastructure and human settlements",Haiti,FRO,0,0
http://unfccc.int/files/adaptation/application/pdf/ge.pdf,Technologies that build climate resilience,General Electric,Water Management,Water resources,India,IND,0,0
http://unfccc.int/files/adaptation/application/pdf/-Allianz.pdf,Insuring against climate impacts and rewarding sustainable business practices,-Allianz,Financial Services,Business,India,IND,0,0
http://unfccc.int/files/adaptation/application/pdf/ankur.pdf,Renewable energy building resilience of island communities,Ankur Scientific Technologies Pvt. Ltd.,Energy and Utilities; Science and Technology,"Transport, infrastructure and human settlements; Renewable energy systems",India,IND,0,0
http://unfccc.int/files/adaptation/application/pdf/basix.pdf,Microinsurance reducing farmers’ exposure to weather risk,BASIX and ICICI Lombard,Financial Services,"Food security, agriculture, forestry and fisheries",India,IND,0,0
http://unfccc.int/files/adaptation/application/pdf/greenfield_hydroponics.pdf,Climate controlled greenhouses,"Greenfield Hydroponics Systems, Inc.",Agriculture,"Food security, agriculture, forestry and fisheries",India,IND,0,0
http://unfccc.int/files/adaptation/application/pdf/itc.pdf,Adaptation to climate change impacts through diversification of farming systems,ITC Limited,Agriculture,"Food security, agriculture, forestry and fisheries",India,IND,0,0
http://unfccc.int/files/adaptation/application/pdf/pepsico.pdf,Replenishing water,Pepsico India,Foodand Beverages,"Food security, agriculture, forestry and fisheries; Water resources",India,IND,0,0
http://unfccc.int/files/adaptation/application/pdf/rabobank.pdf,Expertise reduces climate change risks for most vulnerable,Rabobank,Financial Services,Education and training,India,IND,0,0
http://unfccc.int/files/adaptation/application/pdf/tata.pdf,mKRISHI: Empowering rural farmers,Tata International Limited (Tata Consultancy Services),Telecommunications,"Education and training; Food security, agriculture, forestry and fisheries; Science, assessment, monitoring and early warning; Water resources",India,IND,0,0
http://unfccc.int/files/adaptation/application/pdf/jammu_and_kashmir_cooperative.pdf,Adapting to climate change by growing medicinal and aromatic plants,Fasiam Agro Farms; Jammu & Kashmir Medicinal & Aromatic Plants (MAP) Growers' Cooperative,Agriculture,"Business; Education and training; Food security, agriculture, forestry and fisheries",India,IND,0,0
http://unfccc.int/files/adaptation/application/pdf/-Allianz.pdf,Insuring against climate impacts and rewarding sustainable business practices,-Allianz,Financial Services,Business,Indonesia,IDN,0,0
http://unfccc.int/files/adaptation/application/pdf/nestle_example.pdf,Providing farming training and assistance,Nestlé,Food and Beverages,"Education and training; Food security, agriculture, forestry and fisheries; Water resources",Indonesia,IDN,0,0
http://unfccc.int/files/adaptation/application/pdf/rabobank.pdf,Expertise reduces climate change risks for most vulnerable,Rabobank,Financial Services,Education and training,Indonesia,IDN,0,0
http://unfccc.int/files/adaptation/application/pdf/john_deere.pdf,"Water conservation through precision irrigation, a growing business",John Deere,Agriculture,"Food security, agriculture, forestry and fisheries",Israel,ISR,0,0
http://unfccc.int/files/adaptation/application/pdf/rifugio_dorigoni.pdf,Mountains of change,Rifugio Dorigoni,Tourism and Recreation,"Food security, agriculture, forestry and fisheries; Tourism",Italy,ITA,0,0
http://unfccc.int/files/adaptation/application/pdf/suntory.pdf,"""Bringing Water to Life""",Suntory Limited,Food and Beverages,Education and training; Terrestrial ecosystems; Water resources,Japan,JPN,0,0
http://unfccc.int/files/adaptation/application/pdf/sunlabob.pdf,Meeting energy needs for climate-resilient development,Sunlabob,Energy and Utilities,"Food security, agriculture, forestry and fisheries",Lao People's Democratic Republic,KGZ,0,0
http://unfccc.int/files/adaptation/application/pdf/rabobank.pdf,Expertise reduces climate change risks for most vulnerable,Rabobank,Financial Services,Education and training,Laos,LAO,0,0
http://unfccc.int/files/adaptation/application/pdf/cbre.pdf,Investing in adaptation as part of corporate carbon management strategy,CB Richard Ellis (CBRE); UNICEF UK,Real Estate Services,Education and training; Human health,Madagascar,MDG,0,0
http://unfccc.int/files/adaptation/application/pdf/nestle_example.pdf,Providing farming training and assistance,Nestlé,Food and Beverages,"Education and training; Food security, agriculture, forestry and fisheries; Water resources",Mexico,MEX,0,0
http://unfccc.int/files/adaptation/application/pdf/green_mountain_coffee_roasters.pdf,Coffee Under Pressure: Climate Change and Adaptation in Mesoamerica (CUP),Green Mountain Coffee Roasters (GMCR); International Center for Tropical Agriculture (CIAT); Catholic Relief Services (CRS),Food and Beverages; Agriculture,"Food security, agriculture, forestry and fisheries",Mexico,MEX,0,0
http://unfccc.int/files/adaptation/application/pdf/starbucks.pdf,Ensuring future supply of high-quality coffee,Starbucks Coffee Company; Conservation International,Food and Beverages,"Food security, agriculture, forestry and fisheries; Science, assessment, monitoring and early warning",Mexico,MEX,0,0
http://unfccc.int/files/adaptation/application/pdf/riverside_technology.pdf,"Disaster preparedness, local capacity building, and planning",Riverside Technology,Consultingand Environmental Services,"Science, assessment, monitoring and early warning; Education and training",Morocco,MAR,0,0
http://unfccc.int/files/adaptation/application/pdf/freshfields_llp.pdf,Going beyond offsetting to invest in adaptation,Freshfields Bruckhaus Deringer LLP; UNICEF UK,Legal Services,Human health; Water resources,Mozambique,MOZ,0,0
http://unfccc.int/files/adaptation/application/pdf/bhp_billiton.pdf,Fighting malaria with communities and governments,BHP Billiton,Mining and Metals,Human health,Mozambique,MOZ,0,0
http://unfccc.int/files/adaptation/application/pdf/himal_power.pdf,Building community adaptive capacity,Himal Power Limited,Energyand Utilities,"Transport, infrastructure and human settlements",Nepal,NPL,0,0
http://unfccc.int/files/adaptation/application/pdf/ecofys.pdf,Adaptation and the legal sector,Ecofys,Consultingand Environmental Services,Education and training,Netherlands,NLD,0,0
http://unfccc.int/files/adaptation/application/pdf/green_mountain_coffee_roasters.pdf,Coffee Under Pressure: Climate Change and Adaptation in Mesoamerica (CUP),Green Mountain Coffee Roasters (GMCR); International Center for Tropical Agriculture (CIAT); Catholic Relief Services (CRS),Food and Beverages; Agriculture,"Food security, agriculture, forestry and fisheries",Nicaragua,NIC,0,0
http://unfccc.int/files/adaptation/application/pdf/cafe_direct.pdf,Adaptation for Sm-Allholders to Climate Change (AdapCC),Cafédirect; GIZ,Food and Beverages,"Food security, agriculture, forestry and fisheries",Peru,PER,0,0
http://unfccc.int/files/adaptation/application/pdf/nestle_example.pdf,Providing farming training and assistance,Nestlé,Food and Beverages,"Education and training; Food security, agriculture, forestry and fisheries; Water resources",Philippines,PHL,0,0
http://unfccc.int/files/adaptation/application/pdf/rabobank.pdf,Expertise reduces climate change risks for most vulnerable,Rabobank,Financial Services,Education and training,Philippines,PHL,0,0
http://unfccc.int/files/adaptation/application/pdf/riverside_technology.pdf,"Disaster preparedness, local capacity building, and planning",Riverside Technology,Consultingand Environmental Services,"Science, assessment, monitoring and early warning; Education and training",Romania,ROU,0,0
http://unfccc.int/files/adaptation/application/pdf/anglo_american.pdf,eMalahleni: Water for adaptation,Anglo American,Mining and Metals,Water resources,South Africa,ZAF,0,0
http://unfccc.int/files/adaptation/application/pdf/eskom.pdf,Ensuring reliability and continuity of energy supply,Eskom,Energyand Utilities,"Transport, infrastructure and human settlements",South Africa,ZAF,0,0
http://unfccc.int/files/adaptation/application/pdf/riverside_technology.pdf,"Disaster preparedness, local capacity building, and planning",Riverside Technology,Consultingand Environmental Services,"Science, assessment, monitoring and early warning; Education and training",Sudan,SDN,0,0
http://unfccc.int/files/adaptation/application/pdf/nestle_example.pdf,Providing farming training and assistance,Nestlé,Food and Beverages,"Education and training; Food security, agriculture, forestry and fisheries; Water resources",Thailand,THA,0,0
http://unfccc.int/files/adaptation/application/pdf/sompo.pdf,Weather Index Insurance for drought risk in Thailand,"Sompo Japan Insurance, Inc.",Financial Sector,"Transport, infrastructure and human settlements; Water resources",Thailand,THA,0,0
http://unfccc.int/files/adaptation/application/pdf/the_coca_cola_company.pdf,"Building reputations, securing resources: Teaming up for water conservation",The Coca-Cola Company (TCCC); The World Wildlife Fund (WWF),Food and Beverages,"Education and training; Science, assessment, monitoring and early warning; Terrestrial ecosystem; Water resources",Thailand,THA,0,0
http://unfccc.int/files/adaptation/application/pdf/global_climate_adaptation_partnership.pdf,Mainstreaming adaptation into projects: the Climate Safeguards System prototype,Global Climate Adaptation Partnership (GCAP),Consulting and Environmental Services,"Science, assessment, monitoring and early warning",Tunisia,TUN,0,0
http://unfccc.int/files/adaptation/application/pdf/ericsson.pdf,Enabling access to weather and climate services in Africa,Ericsson,Telecommunications,"Science, assessment, monitoring and early warning",Uganda,TUV,0,0
http://unfccc.int/files/adaptation/application/pdf/enterprise_works.pdf,Rainwater harvesting and storage technology (bob),EnterpriseWorks/VITA (EWV) a Division of Relief International,Consulting and Environmental Services,Business; Human health; Water resources,Uganda,TUV,0,0
http://unfccc.int/files/adaptation/application/pdf/masdar.pdf,Masdar City,WSP Group; Foster + Partners,Construction and Engineering,"Transport, infrastructure and human settlements;",United Arab Emirates,GBR,0,0
http://unfccc.int/files/adaptation/application/pdf/urs_corporation.pdf,The effects of climate change on highway network policies and standards,URS Corporation,Construction and Engineering,"Transport, infrastructure and human settlements",United Kingdom,GBR,0,0
http://unfccc.int/files/adaptation/application/pdf/thames_water.pdf,Taking care of water: Adapting business operations,Thames Water,Energy and Utilities,Water resources,United Kingdom,GBR,0,0
http://unfccc.int/files/adaptation/application/pdf/network_rail.pdf,Tomorrow’s railway and climate change adaptation,Network Rail Infrastructure Limited,Transport and Logistics,"Transport, infrastructure and human settlements",United Kingdom,GBR,0,0
http://unfccc.int/files/adaptation/application/pdf/anglian_water.pdf,Guaranteeing security of supplies,Anglian Water,Water Management,Water resources,United Kingdom,GBR,0,0
http://unfccc.int/files/adaptation/application/pdf/gsk.pdf,New variety of blackcurrants to survive mild winters,GlaxoSmithKline (GSK) (Ribena) and Scottish Crop Research Institute,Agriculture; Food and Beverages,"Food security, agriculture, forestry and fisheries; Science, assessment, monitoring and early warning",United Kingdom,GBR,0,0
http://unfccc.int/files/adaptation/application/pdf/scotch_whisky_association.pdf,Working collectively to address the whisky industry’s long-term risks,Scotch Whisky Association (SWA); Scotch Whisky Research Institute (SWRI),Foodand Beverages,"Food security, agriculture, forestry and fisheries; Water resources",United Kingdom,GBR,0,0
http://unfccc.int/files/adaptation/application/pdf/hsbc.pdf,New insurance products and climate risk,HSBC,Financial Services,"Business; Transport, infrastructure and human settlements",United Kingdom,GBR,0,0
http://unfccc.int/files/adaptation/application/pdf/clim_systems.pdf,The SimCLIM modelling system for climate impact and adaptation assessment,CLIMsystems Ltd,Information Technology Services,"Transport, infrastructure and human settlements; Water resources",United States of America,USA,0,0
http://unfccc.int/files/adaptation/application/pdf/cisco.pdf,Planetary Skin (126 kB),Cisco Systems,Information Technology Services,"Science, assessment, monitoring and early warning",United States of America,USA,0,0
http://unfccc.int/files/adaptation/application/pdf/entergy.pdf,Hurricane Katrina: A climate wakeup c-All,Entergy Corporation,Energyand Utilities,"Transport, infrastructure and human settlements",United States of America,USA,0,0
http://unfccc.int/files/adaptation/application/pdf/john_deere.pdf,"Water conservation through precision irrigation, a growing business",John Deere,Agriculture,"Food security, agriculture, forestry and fisheries",United States of America,USA,0,0
http://unfccc.int/files/adaptation/application/pdf/levi_strauss.pdf,Levi’s® Water,Levi Strauss & Co.,Retail,Water resources,United States of America,USA,0,0
http://unfccc.int/files/adaptation/application/pdf/mckinsey.pdf,Learning about the economics of adaptation,McKinsey & Company,Consultingand Environmental Services,"Business; Science, assessment, monitoring and early warning",United States of America,USA,0,0
http://unfccc.int/files/adaptation/application/pdf/royal_engineers.pdf,Climate resilient reconstruction,Royal Engineers and Consultants,Constructionand Engineering,"Oceans and coastal areas; Transport, infrastructure and human settlements",United States of America,USA,0,0
http://unfccc.int/files/adaptation/application/pdf/the_travelers_companies.pdf,"An ounce of prevention - Linking the interests of homeowners, business, and insurance providers (130 kB)","The Travelers Companies, Inc.",Financial Services,"Oceans and coastal areas; Science, assessment, monitoring and early warning",United States of America,USA,0,0
http://unfccc.int/files/adaptation/application/pdf/the_climate_corporation.pdf,Taking the uncertainty out of climate and weather for stakeholders,The Climate Corporation,Financial Services,"Food security, agriculture, forestry and fisheries",United States of America,USA,0,0
http://unfccc.int/files/adaptation/application/pdf/calvert_investments.pdf,Investing in adaptation,"Calvert Investments, Inc.",Financial Services,"Business; Food security, agriculture, forestry and fisheries; Water resources",United States of America,USA,0,0
http://unfccc.int/files/adaptation/application/pdf/the_coca_cola_company.pdf,"Building reputations, securing resources: Teaming up for water conservation",The Coca-Cola Company (TCCC); The World Wildlife Fund (WWF),Food and Beverages,"Education and training; Science, assessment, monitoring and early warning; Terrestrial ecosystem; Water resources",Vietnam,VNM,0,0
http://unfccc.int/files/adaptation/application/pdf/rabobank.pdf,Expertise reduces climate change risks for most vulnerable,Rabobank,Financial Services,Education and training,Vietnam,VNM,0,0
http://unfccc.int/files/adaptation/application/pdf/john_deere.pdf,"Water conservation through precision irrigation, a growing business",John Deere,Agriculture,"Food security, agriculture, forestry and fisheries",Zambia,ZMB,0,0